第二次买了，很好吃。豆沙很多，糯米很黏，嚼起来富有弹性，吃完忍不住还想再吃。价格不高，真空包装，保质期九个月，所以即使十月份买的依然和刚上市时差不多的味道。,False
尝后来评，甜粽软糯，豆沙细腻，咸粽肉质好，蛋黄流沙，非常好吃的一款，值得回购,False
咸粽子咸鲜软糯，馅料是我吃过最多的一款。咸蛋黄Q弹，猪肉咸鲜香，有肥油，粽子咸淡合适。价格非常合适，性价比最高。原来特别优惠，现在略略涨价，活动打折也还好。今年吃了太多次了。,False
粽子很好吃，豆沙很香，湖州粽子嘉兴粽子都是一绝，价格也便宜，搞活动降价了。因为是真空包装，热的时候最好蒸或煮一下，物流也很快,False
第三次购买。很好吃！包装也很不错！每袋十只，两个一装，每个大袋子里有五个独立的小袋。糯米有劲道，豆沙也很细。这次好活动买了两袋，非常划算！以后还会经常购买。,False
诸老大的粽子很不错。同时买了4袋，2袋肉的，2袋豆沙的。发货速度很快，两天就到了，马上煮了吃。豆沙的是小包装的，2个一袋，肉的是大包装的，一袋10个。糯米质量特别好，黏糯，香。豆沙也很沙，不腻。都爱吃。推荐！,False
"老人非常爱吃豆沙粽子，家里经常买来给老人当早餐。
这次买的是褚老大牌的，老娘说非常好吃。
价格也挺实惠的，以后还会买这个牌子的。",False
"这次在诸老大店买了很多种类的粽子，自己吃和送领导！整体包装都很大气，红色包装显得大气！粽子口味也很不错，这次购买的是洗沙味的，因为老人和孩子喜欢吃甜口的,  所以买的多，下锅煮20分钟左右，糯米粒饱满，不粘叶，很粘！",False
收到，包装很精致，打开马上煮了两个，哇塞！非常好吃，豆沙馅细腻，糯米非常有嚼头。太好吃了，价格也便宜，京东送到家，中午饭没做饭，单单吃了粽子。,False
第一次买他们家这个牌子的粽子。非常的让我惊艳，我和儿子都很喜欢吃这种口味的粽子！又香，豆沙粽子确确实实是吃出来每一口都有豆沙的感觉，这次在他们家买的好几十个粽子。鲜肉粽子也有、豆沙粽也有。我们家先生爱吃咸的粽子，很好吃，甜的豆沙粽子也很好吃。很满意，还会继续回购的。,False
